PDB,rank,iptm,ligand_iptm,complex_iplddt,complex_ipde
_7BLG_model_0,0.9274279475212097,0.9669029116630554,0.9669029116630554,0.936832845211029,0.4476921260356903,
_7BLG_model_1,0.9270055890083313,0.9678093194961548,0.9678093194961548,0.9367617964744568,0.44089287519454956,
_7BLG_model_2,0.9261625409126282,0.9688262939453125,0.9688262939453125,0.9366315603256226,0.438650518655777,
_7BLG_model_3,0.9252082705497742,0.9655686616897583,0.9655686616897583,0.935385525226593,0.44258612394332886,
_7BLG_model_4,0.9248279929161072,0.9673532247543335,0.9673532247543335,0.9337822794914246,0.45227792859077454,
_7en5_model_0,0.8371774554252625,0.6564503312110901,0.6564503312110901,0.6630155444145203,4.698925971984863,
_7en5_model_1,0.8349784016609192,0.6481897234916687,0.6481897234916687,0.6610875129699707,4.755846977233887,
_7en5_model_2,0.8238329887390137,0.589442789554596,0.589442789554596,0.6423912048339844,5.616955280303955,
_7en5_model_3,0.8178146481513977,0.5603293776512146,0.5603293776512146,0.6152677536010742,5.261688232421875,
_7en5_model_4,0.8114168047904968,0.5526292324066162,0.5526292324066162,0.6162271499633789,6.179450988769531,
_7eqr_model_0,0.6701381206512451,0.40762314200401306,0.40762314200401306,0.39838680624961853,8.7776460647583,
_7eqr_model_1,0.6631011366844177,0.3822278380393982,0.3822278380393982,0.38825932145118713,9.532411575317383,
_7eqr_model_2,0.6618156433105469,0.38706737756729126,0.38706737756729126,0.3983699083328247,8.595706939697266,
_7eqr_model_3,0.6566869616508484,0.3724004924297333,0.3724004924297333,0.35706308484077454,9.245195388793945,
_7eqr_model_4,0.6554433703422546,0.36447298526763916,0.36447298526763916,0.35397934913635254,9.918814659118652,
_7exj_model_0,0.9303914904594421,0.9503341317176819,0.9503341317176819,0.8554408550262451,1.0758368968963623,
_7exj_model_1,0.9299991726875305,0.9494328498840332,0.9494328498840332,0.8496479392051697,1.1572260856628418,
_7exj_model_2,0.9294253587722778,0.9490024447441101,0.9490024447441101,0.8510791659355164,1.2117371559143066,
_7exj_model_3,0.9290205240249634,0.9482139348983765,0.9482139348983765,0.8563537001609802,1.208540439605713,
_7exj_model_4,0.9273229837417603,0.9488301277160645,0.9488301277160645,0.8545409440994263,1.1276772022247314,
_7exo_model_0,0.9779478311538696,0.9810221195220947,0.9810221195220947,0.9728695750236511,0.3371586501598358,
_7exo_model_1,0.977852463722229,0.9814084768295288,0.9814084768295288,0.9725785851478577,0.3408185541629791,
