PDB,rank,aggregate_score,iptm
7blg,0,0.7244929671287537,0.6895689964294434
7blg,1,0.7244609594345093,0.6885976791381836
7blg,2,0.7237991094589233,0.688238263130188
7blg,3,0.7221590280532837,0.686553955078125
7blg,4,0.7212703824043274,0.6858345866203308
7en5,0,0.514026939868927,0.41269347071647644
7en5,1,0.49909770488739014,0.3945637047290802
7en5,2,0.42533278465270996,0.3048950731754303
7en5,3,0.4211495518684387,0.29967910051345825
7en5,4,0.40671807527542114,0.28172633051872253
7eqr,0,0.291201114654541,0.18811750411987305
7eqr,1,0.29069551825523376,0.18873921036720276
7eqr,2,0.2840737998485565,0.1810072660446167
7eqr,3,0.2824992537498474,0.17896690964698792
7eqr,4,0.2812619209289551,0.1777590811252594
7exj,0,0.8394455313682556,0.8171569108963013
7exj,1,0.8387240767478943,0.8161444664001465
7exj,2,0.8382203578948975,0.8154711127281189
7exj,3,0.8378481864929199,0.8151410222053528
7exj,4,0.836509108543396,0.8134884238243103
7exo,0,0.866897702217102,0.8439791798591614
7exo,1,0.8665125370025635,0.8436832427978516
7exo,2,0.8659565448760986,0.8427553772926331
7exo,3,0.8656057119369507,0.8428293466567993
7exo,4,0.8654000759124756,0.8423579931259155
7f9g,0,0.41310352087020874,0.3042663335800171
7f9g,1,0.40765759348869324,0.2973425090312958
7f9g,2,0.4067819118499756,0.29643067717552185
7f9g,3,0.4052136540412903,0.2943485677242279
7f9g,4,0.4018327593803406,0.2901400625705719
7jnf,0,0.44122618436813354,0.3848234713077545
7jnf,1,0.4393974542617798,0.38282883167266846
7jnf,2,0.43799644708633423,0.3815763592720032
7jnf,3,0.4378865361213684,0.38183706998825073
7jnf,4,0.2708558738231659,0.17836478352546692
7jwf,0,0.7333411574363708,0.689372718334198
7jwf,1,0.7318739891052246,0.6875374913215637
7jwf,2,0.730986475944519,0.6863182187080383
7jwf,3,0.7298818230628967,0.6850404739379883
7jwf,4,0.7285035252571106,0.683162271976471
7lvy,0,0.8597553372383118,0.846384584903717
7lvy,1,0.8594193458557129,0.8459873199462891
7lvy,2,0.8593276143074036,0.84587562084198
7lvy,3,0.858476996421814,0.8451743721961975
7lvy,4,0.855605959892273,0.841479480266571
7mzs,0,0.1555677056312561,0.09231206029653549
7mzs,1,0.15056566894054413,0.08732385188341141
7mzs,2,0.15037211775779724,0.08753970265388489
7mzs,3,0.14796942472457886,0.08441358804702759
7mzs,4,0.14674438536167145,0.08200060576200485
7p8g,0,0.6672294735908508,0.6067341566085815
7p8g,1,0.6649492383003235,0.60341876745224
7p8g,2,0.6646643280982971,0.6031423211097717
7p8g,3,0.6646639704704285,0.6030697822570801
7p8g,4,0.6636020541191101,0.6017608046531677
7pgk,0,0.23449283838272095,0.1678563356399536
7pgk,1,0.21684527397155762,0.1462506204843521
