PDB	prms	irms	fnat_full	fnat_res	lRMS_sc	lRMS_h	RiRMS	prot-carb_clash	carb-carb_clash	lRMS_sc0	lRMS_sc1	lRMS_sc2
7BLG_pa_rfaa_rank0.pdb	0.531	0.999	0.714	0.714	0.864	0.864	0.67	0	0	0.864		
7BLG_pa_rfaa_rank1.pdb	0.531	1.099	0.857	0.857	0.654	0.654	0.443	0	0	0.654		
7BLG_pa_rfaa_rank2.pdb	0.454	1.176	0.714	0.714	0.54	0.54	0.34	0	0	0.54		
7BLG_pa_rfaa_rank3.pdb	0.472	1.072	0.714	0.714	1.054	1.054	0.472	1	0	1.054		
7BLG_pa_rfaa_rank4.pdb	0.451	0.954	0.714	0.714	0.849	1.224	0.83	0	0	0.849		
7en5_pa_rfaa_rank0.pdb	0.762	0.463	0.917	0.917	6.746	4.554	4.193	2	0	6.746		
7en5_pa_rfaa_rank1.pdb	0.733	0.492	0.833	0.833	6.498	4.71	4.268	0	0	6.498		
7en5_pa_rfaa_rank2.pdb	0.727	0.477	0.833	0.833	6.342	4.707	3.887	0	0	6.342		
7en5_pa_rfaa_rank3.pdb	0.711	0.503	0.917	0.917	6.527	5.118	4.382	3	0	6.527		
7en5_pa_rfaa_rank4.pdb	0.724	0.493	0.917	0.917	7.412	5.89	4.799	6	0	7.412		
7eqr_pa_rfaa_rank0.pdb	0.789	0.848	0.724	0.612	18.741	3.835	7.289	7	0	18.741		
7eqr_pa_rfaa_rank1.pdb	1.138	1.199	0.552	0.531	18.258	3.852	4.584	8	0	18.258		
7eqr_pa_rfaa_rank2.pdb	0.947	0.986	0.586	0.571	18.043	3.889	2.577	9	0	18.043		
7eqr_pa_rfaa_rank3.pdb	1.057	1.242	0.793	0.51	10.357	3.222	7.291	6	0	10.357		
7eqr_pa_rfaa_rank4.pdb	0.956	1.145	0.724	0.429	17.775	3.439	2.885	19	1	17.775		
7exj_pa_rfaa_rank0.pdb	1.253	0.588	1.0	1.0	1.213	1.501	0.932	0	0	1.213		
7exj_pa_rfaa_rank1.pdb	1.188	0.621	1.0	0.96	1.864	2.465	1.516	1	0	1.864		
7exj_pa_rfaa_rank2.pdb	1.633	0.671	0.941	0.92	1.696	2.887	1.485	3	0	1.696		
7exj_pa_rfaa_rank3.pdb	1.604	0.817	0.941	0.84	6.74	3.386	2.491	6	0	6.74		
7exj_pa_rfaa_rank4.pdb	1.421	0.638	1.0	0.96	6.449	3.729	2.59	6	0	6.449		
7exo_pa_rfaa_rank0.pdb	0.482	0.42	0.909	0.909	0.9	0.9	0.371	0	0	0.9		
7exo_pa_rfaa_rank1.pdb	0.515	0.428	0.909	0.909	0.782	0.782	0.379	0	0	0.782		
7exo_pa_rfaa_rank2.pdb	0.533	0.437	0.909	0.909	1.064	1.186	0.347	0	0	1.064		
7exo_pa_rfaa_rank3.pdb	0.512	0.484	0.909	0.909	0.84	0.84	0.32	0	0	0.84		
7exo_pa_rfaa_rank4.pdb	0.528	0.436	0.909	0.909	0.82	0.82	0.334	0	0	0.82		
7f9g_pa_rfaa_rank0.pdb	0.596	0.62	0.917	0.917	1.297	1.442	1.154	0	0	1.297		
7f9g_pa_rfaa_rank1.pdb	0.585	0.664	0.917	0.917	4.1	3.299	2.394	1	0	4.1		
7f9g_pa_rfaa_rank2.pdb	0.581	0.705	0.917	0.75	2.879	3.004	1.932	4	0	2.879		
7f9g_pa_rfaa_rank3.pdb	0.602	0.935	0.917	0.917	1.57	2.126	1.34	0	0	1.57		
7f9g_pa_rfaa_rank4.pdb	0.588	0.898	0.917	0.833	2.155	2.668	1.811	1	0	2.155		
7jnf_pa_rfaa_rank0.pdb	2.219	0.42	0.875	0.875	2.233	3.007	1.312	0	0	2.233		
7jnf_pa_rfaa_rank1.pdb	2.392	0.434	0.875	0.875	1.805	2.057	0.727	1	0	1.805		
7jnf_pa_rfaa_rank2.pdb	6.486	1.09	0.75	0.75	5.159	5.719	4.796	17	0	5.159		
7jnf_pa_rfaa_rank3.pdb	6.881	0.704	1.0	1.0	3.905	4.542	3.827	15	0	3.905		
7jnf_pa_rfaa_rank4.pdb	4.507	0.865	0.875	0.875	4.78	5.614	4.391	5	0	4.78		
7jwf_pa_rfaa_rank0.pdb	0.652	0.526	0.789	0.76	3.757	3.071	1.448	0	0	3.757		
7jwf_pa_rfaa_rank1.pdb	0.736	0.54	0.789	0.76	3.826	3.053	1.614	0	0	3.826		
7jwf_pa_rfaa_rank2.pdb	0.762	0.57	0.789	0.72	3.782	3.173	1.268	1	0	3.782		
7jwf_pa_rfaa_rank3.pdb	1.338	0.826	0.737	0.68	3.935	3.225	1.661	0	0	3.935		
7jwf_pa_rfaa_rank4.pdb	1.407	0.871	0.947	0.88	4.003	3.375	1.687	0	0	4.003		
7lvy_pa_rfaa_rank0.pdb	1.107	0.783	0.711	0.54	2.754	1.622	6.403	1	1	4.265	1.244	
7lvy_pa_rfaa_rank1.pdb	1.189	0.833	0.789	0.683	2.529	1.506	1.691	1	0	3.684	1.374	
7lvy_pa_rfaa_rank2.pdb	0.912	0.742	0.763	0.707	3.734	1.933	2.425	0	0	6.026	1.441	
7lvy_pa_rfaa_rank3.pdb	0.954	0.747	0.763	0.683	2.955	1.776	2.085	0	0	4.468	1.443	
7lvy_pa_rfaa_rank4.pdb	0.968	0.721	0.711	0.818	3.385	1.812	2.411	0	0	5.513	1.258	
7mzs_pa_rfaa_rank0.pdb	0.631	0.434	0.889	0.889	3.79	4.361	2.864	0	0	3.79		
7mzs_pa_rfaa_rank1.pdb	0.693	0.449	1.0	1.0	3.55	4.009	2.426	1	0	3.55		
7mzs_pa_rfaa_rank2.pdb	1.008	1.428	0.667	0.667	6.796	6.799	6.126	20	0	6.796		
7mzs_pa_rfaa_rank3.pdb	1.226	1.179	0.667	0.667	6.527	6.888	5.817	19	0	6.527		
7mzs_pa_rfaa_rank4.pdb	1.139	1.705	0.444	0.444	8.781	9.054	8.127	12	0	8.781		
7p8g_pa_rfaa_rank0.pdb	0.621	0.566	0.909	0.909	3.967	3.762	1.855	1	0	3.967		
7p8g_pa_rfaa_rank1.pdb	0.596	0.54	0.818	0.818	3.869	4.139	2.921	2	0	3.869		
7p8g_pa_rfaa_rank2.pdb	0.629	0.575	0.818	0.818	3.994	3.847	2.351	0	0	3.994		
7p8g_pa_rfaa_rank3.pdb	0.654	0.616	0.818	0.818	3.952	3.927	2.129	1	0	3.952		
7p8g_pa_rfaa_rank4.pdb	0.707	0.643	0.818	0.818	3.849	3.94	2.126	2	0	3.849		
7pgk_pa_rfaa_rank0.pdb	0.922	1.823	0.286	0.2	15.65	15.553	9.895	12	6	15.65		
7pgk_pa_rfaa_rank1.pdb	1.025	1.753	0.143	0.2	15.665	15.768	10.969	19	9	15.665		
7pgk_pa_rfaa_rank2.pdb	0.989	1.895	0.143	0.2	15.624	15.567	9.508	11	8	15.624		
7pgk_pa_rfaa_rank3.pdb	0.947	1.927	0.286	0.4	15.528	14.302	12.337	22	2	15.528		
7pgk_pa_rfaa_rank4.pdb	0.914	1.996	0.286	0.2	14.645	14.427	9.978	23	7	14.645		
7pug_pa_rfaa_rank0.pdb	1.179	0.851	0.917	0.737	14.268	5.404	3.398	3	0	14.268		
7pug_pa_rfaa_rank1.pdb	1.364	1.322	0.75	0.579	4.652	6.299	5.44	17	0	4.652		
7pug_pa_rfaa_rank2.pdb	1.32	1.098	0.833	0.579	14.21	6.591	4.612	7	0	14.21		
7pug_pa_rfaa_rank3.pdb	1.305	0.947	0.833	0.684	14.118	5.294	3.03	3	0	14.118		
7pug_pa_rfaa_rank4.pdb	1.427	1.169	0.833	0.579	13.384	8.348	7.716	8	0	13.384		
7rft_pa_rfaa_rank0.pdb	1.279	1.053	0.846	0.773	9.131	5.881	4.087	8	0	9.131		
7rft_pa_rfaa_rank1.pdb	1.377	0.913	0.846	0.727	8.823	4.474	2.357	5	0	8.823		
7rft_pa_rfaa_rank2.pdb	1.26	0.981	0.923	0.864	8.683	3.482	2.48	2	0	8.683		
7rft_pa_rfaa_rank3.pdb	1.278	1.231	1.0	0.818	8.205	5.212	6.21	13	0	8.205		
7rft_pa_rfaa_rank4.pdb	1.351	1.452	0.769	0.591	8.327	5.939	5.192	38	0	8.327		
7rpy_pa_rfaa_rank0.pdb	4.677	2.663	0.5	0.5	2.597	3.928	2.422	3	0	2.597		
7rpy_pa_rfaa_rank1.pdb	7.832	7.146	0.5	0.45	7.73	10.68	10.577	5	0	7.73		
7rpy_pa_rfaa_rank2.pdb	5.992	3.819	0.571	0.55	5.097	6.856	7.296	13	0	5.097		
7rpy_pa_rfaa_rank3.pdb	6.834	5.718	0.5	0.55	5.205	7.294	7.828	11	0	5.205		
7rpy_pa_rfaa_rank4.pdb	10.458	11.219	0.5	0.55	13.547	15.093	14.686	43	0	13.547		
7toh_pa_rfaa_rank0.pdb	0.536	0.561	0.941	0.842	5.829	2.282	2.066	0	0	5.829		
7toh_pa_rfaa_rank1.pdb	0.534	0.535	0.882	0.842	5.9	2.529	1.503	1	0	5.9		
7toh_pa_rfaa_rank2.pdb	0.537	0.499	0.941	0.895	5.953	2.583	1.303	2	0	5.953		
7toh_pa_rfaa_rank3.pdb	0.479	0.509	0.941	0.947	5.791	2.476	1.596	1	0	5.791		
7toh_pa_rfaa_rank4.pdb	0.55	0.552	0.882	0.842	5.873	2.589	1.741	2	0	5.873		
7tvp_pa_rfaa_rank0.pdb	0.69	0.633	0.765	0.667	7.24	3.533	3.418	0	0	7.24		
