PDB,rank,conf
7blg,rank8,-1.28
7blg,rank9,-1.28
7blg,rank10,-1.29
7blg,rank1,-1.21
7blg,rank5,-1.26
7blg,rank4,-1.26
7blg,rank6,-1.27
7blg,rank7,-1.27
7blg,rank2,-1.21
7blg,rank3,-1.26
7en5,rank5,-2.55
7en5,rank3,-2.50
7en5,rank7,-2.79
7en5,rank4,-2.53
7en5,rank10,-4.18
7en5,rank1,-1.65
7en5,rank2,-2.39
7en5,rank9,-3.92
7en5,rank6,-2.76
7en5,rank8,-3.80
7eqr,rank1,-3.65
7eqr,rank3,-3.78
7eqr,rank5,-3.83
7eqr,rank10,-1000.00
7eqr,rank9,-4.06
7eqr,rank8,-4.01
7eqr,rank2,-3.68
7eqr,rank6,-3.90
7eqr,rank7,-3.90
7eqr,rank4,-3.79
7exj,rank9,-3.70
7exj,rank8,-3.64
7exj,rank6,-2.93
7exj,rank2,-2.25
7exj,rank7,-3.45
7exj,rank1,-2.14
7exj,rank10,-3.79
7exj,rank5,-2.76
7exj,rank4,-2.75
7exj,rank3,-2.65
7exo,rank3,-0.80
7exo,rank5,-0.85
7exo,rank6,-0.85
7exo,rank7,-0.85
7exo,rank2,-0.79
7exo,rank1,-0.78
7exo,rank4,-0.81
7exo,rank10,-0.95
7exo,rank8,-0.85
7exo,rank9,-0.85
7f9g,rank4,-1.38
7f9g,rank9,-1.66
7f9g,rank8,-1.65
7f9g,rank10,-1.71
7f9g,rank7,-1.63
7f9g,rank5,-1.40
7f9g,rank6,-1.43
7f9g,rank3,-1.37
7f9g,rank1,-1.20
7f9g,rank2,-1.33
7jnf,rank10,-3.48
7jnf,rank9,-2.85
7jnf,rank8,-2.78
7jnf,rank6,-2.35
7jnf,rank5,-2.27
7jnf,rank3,-2.23
7jnf,rank4,-2.27
7jnf,rank1,-1.72
7jnf,rank2,-2.04
7jnf,rank7,-2.60
7jwf,rank9,-1.99
7jwf,rank1,-1.38
7jwf,rank5,-1.65
7jwf,rank4,-1.62
7jwf,rank6,-1.77
7jwf,rank7,-1.79
7jwf,rank3,-1.44
7jwf,rank2,-1.44
7jwf,rank8,-1.92
7jwf,rank10,-2.00
7lvy-glc,rank7,-2.37
7lvy-glc,rank8,-2.45
7lvy-glc,rank9,-2.69
7lvy-glc,rank5,-2.26
7lvy-glc,rank10,-2.94
7lvy-glc,rank1,-1.42
7lvy-glc,rank6,-2.28
7lvy-glc,rank4,-2.07
7lvy-glc,rank3,-1.90
7lvy-glc,rank2,-1.45
7lvy-udp,rank7,-0.78
7lvy-udp,rank2,-0.69
7lvy-udp,rank10,-0.92
7lvy-udp,rank8,-0.78
7lvy-udp,rank9,-0.79
7lvy-udp,rank4,-0.73
7lvy-udp,rank3,-0.70
7lvy-udp,rank5,-0.74
7lvy-udp,rank6,-0.77
7lvy-udp,rank1,-0.66
7mzs,rank9,-3.64
7mzs,rank7,-2.51
7mzs,rank3,-1.76
7mzs,rank10,-4.25
7mzs,rank2,-1.73
7mzs,rank6,-2.32
7mzs,rank8,-2.81
7mzs,rank5,-2.19
7mzs,rank4,-2.04
7mzs,rank1,-1.30
7p8g,rank10,-2.37
7p8g,rank1,-1.38
7p8g,rank2,-1.49
7p8g,rank6,-1.74
7p8g,rank3,-1.59
7p8g,rank4,-1.61
7p8g,rank5,-1.68
7p8g,rank7,-1.80
7p8g,rank8,-1.82
7p8g,rank9,-1.82
7pgk,rank5,-3.62
7pgk,rank6,-3.81
7pgk,rank1,-3.46
7pgk,rank10,-4.11
7pgk,rank7,-3.82
7pgk,rank4,-3.57
7pgk,rank9,-4.00
7pgk,rank3,-3.55
7pgk,rank2,-3.55
7pgk,rank8,-3.97
7pug,rank10,-3.58
7pug,rank5,-2.87
7pug,rank6,-3.07
7pug,rank3,-2.42
7pug,rank1,-2.26
7pug,rank2,-2.38
7pug,rank4,-2.77
7pug,rank9,-3.50
7pug,rank8,-3.46
7pug,rank7,-3.30
7rft,rank4,-1.99
7rft,rank6,-2.09
7rft,rank10,-2.44
7rft,rank7,-2.18
7rft,rank9,-2.43
7rft,rank2,-1.82
7rft,rank1,-1.80
7rft,rank5,-2.06
7rft,rank3,-1.86
7rft,rank8,-2.29
7rpy,rank3,-2.46
7rpy,rank4,-2.56
7rpy,rank2,-2.43
7rpy,rank10,-2.87
7rpy,rank8,-2.68
7rpy,rank1,-2.35
7rpy,rank9,-2.71
7rpy,rank5,-2.58
7rpy,rank6,-2.58
7rpy,rank7,-2.59
7toh,rank10,-4.52
7toh,rank3,-1.39
7toh,rank7,-3.05
7toh,rank4,-1.53
