PDB	prms	irms	fnat_full	fnat_res	lRMS_sc	lRMS_h	RiRMS	prot-carb_clash	carb-carb_clash	lRMS_sc0	lRMS_sc1	lRMS_sc2
7BLG_pa_boltz_rank0.pdb	0.366	0.308	0.857	0.857	0.503	0.503	0.297	0	0	0.503		
7BLG_pa_boltz_rank1.pdb	0.329	0.332	0.857	0.857	0.454	0.454	0.273	0	0	0.454		
7BLG_pa_boltz_rank2.pdb	0.353	0.33	0.857	0.857	0.472	0.472	0.336	0	0	0.472		
7BLG_pa_boltz_rank3.pdb	0.348	0.347	0.857	0.857	0.499	0.499	0.388	0	0	0.499		
7BLG_pa_boltz_rank4.pdb	0.341	0.313	0.857	0.857	0.374	0.374	0.227	0	0	0.374		
7en5_pa_boltz_rank0.pdb	0.674	0.306	0.917	0.917	5.037	4.89	4.564	0	0	5.037		
7en5_pa_boltz_rank1.pdb	0.598	0.287	0.833	0.833	4.947	4.253	4.242	0	0	4.947		
7en5_pa_boltz_rank2.pdb	0.679	0.267	0.917	0.917	4.781	4.296	4.008	0	0	4.781		
7en5_pa_boltz_rank3.pdb	0.728	0.253	0.917	0.917	5.813	3.571	1.892	0	0	5.813		
7en5_pa_boltz_rank4.pdb	0.608	0.29	0.917	0.917	4.717	4.132	3.958	0	0	4.717		
7eqr_pa_boltz_rank0.pdb	0.731	0.711	0.69	0.571	12.291	4.177	3.595	0	0	12.291		
7eqr_pa_boltz_rank1.pdb	0.693	0.758	0.897	0.673	11.736	3.051	2.584	0	0	11.736		
7eqr_pa_boltz_rank2.pdb	0.659	0.725	0.759	0.653	22.975	6.058	4.545	1	0	22.975		
7eqr_pa_boltz_rank3.pdb	0.793	0.735	0.793	0.714	8.585	2.863	2.284	0	0	8.585		
7eqr_pa_boltz_rank4.pdb	0.693	0.678	0.793	0.612	11.501	3.567	2.033	1	1	11.501		
7exj_pa_boltz_rank0.pdb	0.495	0.329	1.0	0.88	3.286	3.346	2.75	0	0	3.286		
7exj_pa_boltz_rank1.pdb	0.47	0.347	1.0	0.88	3.045	3.045	2.593	0	0	3.045		
7exj_pa_boltz_rank2.pdb	0.512	0.36	1.0	0.88	3.082	3.151	2.587	0	0	3.082		
7exj_pa_boltz_rank3.pdb	0.499	0.375	1.0	0.88	3.061	3.061	2.585	0	0	3.061		
7exj_pa_boltz_rank4.pdb	0.521	0.355	1.0	0.88	3.053	3.053	2.573	0	0	3.053		
7exo_pa_boltz_rank0.pdb	0.338	0.276	0.909	0.909	0.794	0.988	0.5	0	0	0.794		
7exo_pa_boltz_rank1.pdb	0.343	0.284	0.909	0.909	0.752	0.957	0.482	0	0	0.752		
7exo_pa_boltz_rank2.pdb	0.344	0.278	0.909	0.909	0.707	0.707	0.447	0	0	0.707		
7exo_pa_boltz_rank3.pdb	0.344	0.293	0.909	0.909	1.0	1.163	0.541	0	0	1.0		
7exo_pa_boltz_rank4.pdb	0.319	0.265	0.909	0.909	0.953	1.122	0.456	0	0	0.953		
7f9g_pa_boltz_rank0.pdb	0.461	0.531	0.25	0.25	13.806	13.556	13.708	0	0	13.806		
7f9g_pa_boltz_rank1.pdb	0.5	0.526	0.0	0.0	37.63	37.636	37.81	0	0	37.63		
7f9g_pa_boltz_rank2.pdb	0.501	0.492	0.917	0.917	1.76	2.37	1.212	0	0	1.76		
7f9g_pa_boltz_rank3.pdb	0.486	0.527	0.167	0.167	13.257	13.332	13.368	0	0	13.257		
7f9g_pa_boltz_rank4.pdb	0.477	0.524	0.833	0.833	3.083	2.661	2.06	0	0	3.083		
7jnf_pa_boltz_rank0.pdb	2.264	0.303	0.875	0.875	1.136	1.375	0.721	0	0	1.136		
7jnf_pa_boltz_rank1.pdb	2.659	0.276	1.0	1.0	1.202	1.419	0.708	0	0	1.202		
7jnf_pa_boltz_rank2.pdb	1.968	0.339	1.0	1.0	1.154	1.154	0.65	0	0	1.154		
7jnf_pa_boltz_rank3.pdb	2.18	0.34	0.0	0.0	49.121	49.34	49.012	0	0	49.121		
7jnf_pa_boltz_rank4.pdb	2.74	0.316	0.625	0.625	4.78	3.448	0.916	0	0	4.78		
7jwf_pa_boltz_rank0.pdb	0.623	0.518	0.895	0.92	1.094	1.179	0.615	0	0	1.094		
7jwf_pa_boltz_rank1.pdb	0.678	0.51	0.895	0.88	0.998	0.998	0.293	0	0	0.998		
7jwf_pa_boltz_rank2.pdb	0.701	0.566	0.895	0.8	0.823	0.823	0.276	0	0	0.823		
7jwf_pa_boltz_rank3.pdb	0.634	0.574	0.842	0.76	1.022	1.022	0.248	0	0	1.022		
7jwf_pa_boltz_rank4.pdb	0.624	0.548	0.895	0.8	0.958	0.958	0.28	0	0	0.958		
7lvy_pa_boltz_rank0.pdb	0.497	0.432	0.789	0.805	2.946	1.509	0.919	0	0	3.673	2.218	
7lvy_pa_boltz_rank1.pdb	0.522	0.412	0.816	0.854	2.749	1.3	0.653	0	0	3.374	2.123	
7lvy_pa_boltz_rank2.pdb	0.473	0.393	0.789	0.829	2.913	1.36	0.863	0	0	3.635	2.191	
7lvy_pa_boltz_rank3.pdb	0.49	0.404	0.789	0.854	2.639	1.44	0.658	0	0	3.153	2.125	
7lvy_pa_boltz_rank4.pdb	0.489	0.401	0.789	0.854	2.516	1.426	0.783	0	0	3.018	2.014	
7mzs_pa_boltz_rank0.pdb	1.061	1.004	0.778	0.778	3.939	2.89	1.81	0	0	3.939		
7mzs_pa_boltz_rank1.pdb	1.019	1.124	0.778	0.778	4.194	2.152	1.111	0	0	4.194		
7mzs_pa_boltz_rank2.pdb	1.035	1.084	0.667	0.667	4.779	3.183	2.089	0	0	4.779		
7mzs_pa_boltz_rank3.pdb	0.956	1.314	0.778	0.778	4.845	3.756	2.4	0	0	4.845		
7mzs_pa_boltz_rank4.pdb	0.935	1.067	0.667	0.667	3.792	1.836	1.337	0	0	3.792		
7p8g_pa_boltz_rank0.pdb	0.448	0.374	0.727	0.727	1.167	1.167	0.121	0	0	1.167		
7p8g_pa_boltz_rank1.pdb	0.42	0.398	0.818	0.818	2.131	1.712	0.529	0	0	2.131		
7p8g_pa_boltz_rank2.pdb	0.43	0.416	0.818	0.818	2.536	2.159	0.993	0	0	2.536		
7p8g_pa_boltz_rank3.pdb	0.456	0.465	0.818	0.818	1.502	1.502	0.679	0	0	1.502		
7p8g_pa_boltz_rank4.pdb	0.492	0.387	0.818	0.818	2.657	1.369	0.387	0	0	2.657		
7pgk_pa_boltz_rank0.pdb	1.154	2.343	0.286	0.3	14.679	14.844	13.672	2	0	14.679		
7pgk_pa_boltz_rank1.pdb	0.941	2.875	0.286	0.4	14.232	13.808	13.002	1	0	14.232		
